2015-06-14,dane,weight,158.4
2015-06-14,dane,calories,2523
2015-06-14,dane,steps,14431
2014-03-31,dane,distance,5.47
2014-03-31,dane,calories,2283
2014-03-31,dane,steps,11172
2014-03-30,dane,distance,7.19
2014-03-30,dane,calories,2609
2014-03-30,dane,steps,14684
2012-12-19,dane,distance,7.65
2012-12-19,dane,weight,186.8
2012-12-19,dane,calories,2355
2012-12-19,dane,steps,15614
2013-04-11,dane,distance,2.89
2013-04-11,dane,calories,1811
2013-04-11,dane,steps,5912
2015-11-10,dane,distance,9.64
2015-11-10,dane,calories,2821
2015-11-10,dane,steps,19698
2014-01-02,dane,distance,6.3
2014-01-02,dane,weight,157.5
2014-01-02,dane,calories,2409
2014-01-02,dane,steps,12866
2015-08-18,dane,distance,9.22
2015-08-18,dane,weight,159.2
2015-08-18,dane,calories,2804
2015-08-18,dane,steps,18825
2013-09-03,dane,distance,9.18
2013-09-03,dane,weight,157.2
2013-09-03,dane,calories,2835
2013-09-03,dane,steps,18745
2013-09-03,dane,biking,15.1
2014-03-09,dane,distance,8.24
2014-03-09,dane,calories,2631
2014-03-09,dane,steps,16830
2013-03-10,dane,distance,5.48
2013-03-10,dane,calories,2278
2013-03-10,dane,steps,11185
2013-03-11,dane,distance,5.75
2013-03-11,dane,calories,2184
2013-03-11,dane,steps,11748
2013-03-11,dane,biking,16.1
2013-03-12,dane,distance,8.25
2013-03-12,dane,weight,174
2013-03-12,dane,calories,2514
2013-03-12,dane,steps,16842
2013-03-12,dane,biking,10.0
2013-03-13,dane,distance,5.46
2013-03-13,dane,weight,174.3
2013-03-13,dane,calories,2162
2013-03-13,dane,steps,11148
2013-03-13,dane,biking,13.0
2013-03-14,dane,distance,5.15
2013-03-14,dane,weight,174.2
2013-03-14,dane,calories,1998
2013-03-14,dane,steps,10510
2013-03-15,dane,distance,5.84
2013-03-15,dane,weight,173.4
2013-03-15,dane,calories,2169
2013-03-15,dane,steps,11924
2013-03-15,dane,biking,17.4
2013-03-16,dane,distance,6.1
2013-03-16,dane,weight,174.2
2013-03-16,dane,calories,2353
2013-03-16,dane,steps,12455
2013-03-16,dane,biking,14.7
2013-03-17,dane,distance,5.43
2013-03-17,dane,weight,173.8
2013-03-17,dane,calories,2368
2013-03-17,dane,steps,11085
2013-03-18,dane,distance,6.28
2013-03-18,dane,weight,173.1
2013-03-18,dane,calories,2106
2013-03-18,dane,steps,12819
2015-11-15,dane,distance,9.88
2015-11-15,dane,calories,2842
2015-11-15,dane,steps,20184
2013-09-04,dane,distance,7.35
2013-09-04,dane,weight,157
2013-09-04,dane,calories,2547
2013-09-04,dane,steps,15007
2015-06-11,dane,distance,10.98
2015-06-11,dane,weight,159.2
2015-06-11,dane,calories,3001
2015-06-11,dane,steps,22422
2015-06-10,dane,distance,8.45
2015-06-10,dane,weight,159.2
2015-06-10,dane,calories,2687
2015-06-10,dane,steps,17251
2015-06-13,dane,distance,13.47
2015-06-13,dane,calories,3314
2015-06-13,dane,steps,27519
2015-06-12,dane,distance,6.32
2015-06-12,dane,calories,2413
2015-06-12,dane,steps,12898
2015-06-15,dane,distance,8.9
2015-06-15,dane,weight,158.8
2015-06-15,dane,calories,2796
2015-06-15,dane,steps,18184
2013-09-07,dane,distance,7.68
2013-09-07,dane,weight,156.7
2013-09-07,dane,calories,2581
2013-09-07,dane,steps,15692
2015-06-17,dane,distance,8.58
2015-06-17,dane,calories,2695
2015-06-17,dane,steps,17521
2015-06-16,dane,distance,8.12
2015-06-16,dane,weight,158.3
2015-06-16,dane,calories,2647
2015-06-16,dane,steps,16586
2015-06-19,dane,distance,11.53
2015-06-19,dane,calories,3050
2015-06-19,dane,steps,23295
2015-06-18,dane,distance,7.97
2015-06-18,dane,weight,159.4
2015-06-18,dane,calories,2633
2015-06-18,dane,steps,16274
2015-11-16,dane,distance,7.92
2015-11-16,dane,calories,2636
2015-11-16,dane,steps,16183
2014-04-29,dane,distance,9.75
2014-04-29,dane,weight,158.7
2014-04-29,dane,calories,2823
2014-04-29,dane,steps,19916
2014-04-29,dane,biking,15.6
2014-04-28,dane,distance,10.22
2014-04-28,dane,weight,160.8
2014-04-28,dane,calories,2947
2014-04-28,dane,steps,20882
2014-04-28,dane,biking,21.1
2014-04-27,dane,distance,7.51
2014-04-27,dane,calories,2586
2014-04-27,dane,steps,15344
2014-04-26,dane,distance,8.8
2014-04-26,dane,weight,158.4
2014-04-26,dane,calories,2743
2014-04-26,dane,steps,17982
2014-04-25,dane,distance,8.75
2014-04-25,dane,weight,157.7
2014-04-25,dane,calories,2756
2014-04-25,dane,steps,17870
2014-04-24,dane,distance,10.88
2014-04-24,dane,weight,157.6
2014-04-24,dane,calories,2998
2014-04-24,dane,steps,22225
2014-04-24,dane,biking,12.6
2014-04-23,dane,distance,9.3
2014-04-23,dane,weight,157.6
2014-04-23,dane,calories,2808
2014-04-23,dane,steps,18994
2014-04-23,dane,biking,16.2
2014-04-22,dane,distance,5.21
2014-04-22,dane,calories,2268
2014-04-22,dane,steps,10639
2014-04-22,dane,biking,16.8
2014-04-21,dane,distance,12.31
2014-04-21,dane,calories,3124
2014-04-21,dane,steps,25018
2014-04-21,dane,biking,12.8
2014-04-20,dane,distance,17.15
2014-04-20,dane,calories,3741
2014-04-20,dane,steps,34988
2014-01-08,dane,distance,7.2
2014-01-08,dane,calories,2510
2014-01-08,dane,steps,14524
2015-08-29,dane,distance,13.06
2015-08-29,dane,calories,3241
2015-08-29,dane,steps,26670
2015-11-07,dane,distance,8.43
2015-11-07,dane,weight,157.3
2015-11-07,dane,calories,2662
2015-11-07,dane,steps,17218
2014-03-03,dane,distance,6.12
2014-03-03,dane,weight,157.2
2014-03-03,dane,calories,2402
2014-03-03,dane,steps,12507
2015-02-19,dane,distance,11.97
2015-02-19,dane,calories,3096
2015-02-19,dane,steps,24455
2015-02-18,dane,distance,8.32
2015-02-18,dane,weight,156.5
2015-02-18,dane,calories,2686
2015-02-18,dane,steps,16991
2015-02-15,dane,distance,6.64
2015-02-15,dane,calories,2592
2015-02-15,dane,steps,13562
2015-02-14,dane,distance,10.45
2015-02-14,dane,weight,157.1
2015-02-14,dane,calories,3294
2015-02-14,dane,steps,21333
2015-02-17,dane,distance,8.03
2015-02-17,dane,weight,156.9
2015-02-17,dane,calories,2583
2015-02-17,dane,steps,16393
2015-02-16,dane,distance,10.28
2015-02-16,dane,weight,156.3
2015-02-16,dane,calories,2944
2015-02-16,dane,steps,20992
2015-02-11,dane,distance,8.95
2015-02-11,dane,calories,2775
2015-02-11,dane,steps,18279
2015-02-10,dane,distance,12.1
2015-02-10,dane,calories,3145
2015-02-10,dane,steps,24707
2015-02-13,dane,distance,10.9
2015-02-13,dane,weight,156.6
2015-02-13,dane,calories,3509
2015-02-13,dane,steps,22270
2015-02-12,dane,distance,8.89
2015-02-12,dane,weight,156.6
2015-02-12,dane,calories,2829
2015-02-12,dane,steps,18154
2013-12-23,dane,distance,13.31
2013-12-23,dane,weight,156.9
2013-12-23,dane,calories,3324
2013-12-23,dane,steps,27182
2013-12-23,dane,biking,17.8
2014-07-02,dane,distance,9.24
2014-07-02,dane,weight,157.6
2014-07-02,dane,calories,2889
2014-07-02,dane,steps,18844
2014-07-03,dane,distance,14.53
2014-07-03,dane,weight,158.2
2014-07-03,dane,calories,3588
2014-07-03,dane,steps,29518
2014-07-03,dane,biking,11.0
2014-07-04,dane,distance,17.89
2014-07-04,dane,calories,3951
2014-07-04,dane,steps,36535
2014-07-05,dane,distance,8.12
2014-07-05,dane,calories,2743
2014-07-05,dane,steps,16577
2014-07-06,dane,distance,13.21
2014-07-06,dane,weight,156.8
2014-07-06,dane,calories,3293
2014-07-06,dane,steps,26987
2014-09-14,dane,distance,8.69
2014-09-14,dane,calories,2788
2014-09-14,dane,steps,17751
2014-09-14,dane,biking,6.5
2014-07-08,dane,distance,7.08
2014-07-08,dane,weight,156.1
2014-07-08,dane,calories,2622
2014-07-08,dane,steps,14466
2014-07-08,dane,biking,19.0
2014-07-09,dane,distance,6.66
2014-07-09,dane,weight,156.6
2014-07-09,dane,calories,2433
2014-07-09,dane,steps,13596
2013-12-21,dane,distance,8.69
2013-12-21,dane,calories,2701
2013-12-21,dane,steps,17739
2015-05-29,dane,distance,6.81
2015-05-29,dane,calories,2470
2015-05-29,dane,steps,13918
2014-09-16,dane,distance,9
2014-09-16,dane,weight,157.9
2014-09-16,dane,calories,2776
2014-09-16,dane,steps,18374
2014-09-16,dane,biking,19.3
2013-09-19,dane,distance,9.07
2013-09-19,dane,weight,156.9
2013-09-19,dane,calories,2769
2013-09-19,dane,steps,18523
2015-05-28,dane,distance,8.22
2015-05-28,dane,calories,2636
2015-05-28,dane,steps,16778
2013-12-27,dane,distance,6.75
2013-12-27,dane,weight,157
2013-12-27,dane,calories,2482
2013-12-27,dane,steps,13789
2015-10-14,dane,distance,1.1
2015-10-14,dane,weight,157.5
2015-10-14,dane,calories,2084
2015-10-14,dane,steps,9287
2013-12-26,dane,distance,12.04
2013-12-26,dane,weight,156.4
2013-12-26,dane,calories,3210
2013-12-26,dane,steps,24017
2013-12-26,dane,biking,14.5
2015-10-15,dane,distance,7.91
2015-10-15,dane,weight,158.5
2015-10-15,dane,calories,2606
2015-10-15,dane,steps,16158
2013-12-25,dane,distance,7.69
2013-12-25,dane,weight,156.1
2013-12-25,dane,calories,2773
2013-12-25,dane,steps,15557
2013-06-29,dane,distance,10.22
2013-06-29,dane,weight,160.1
2013-06-29,dane,calories,2703
2013-06-29,dane,steps,20881
2013-06-29,dane,biking,11.8
2015-10-12,dane,distance,7.01
2015-10-12,dane,weight,157.2
2015-10-12,dane,calories,2507
2015-10-12,dane,steps,14316
2012-12-18,dane,distance,4.18
2012-12-18,dane,weight,187.1
2012-12-18,dane,calories,2080
2012-12-18,dane,steps,8541
2012-12-18,dane,biking,10.0
2015-07-13,dane,distance,7.53
2015-07-13,dane,weight,157.5
2015-07-13,dane,calories,2582
2015-07-13,dane,steps,15385
2015-07-20,dane,distance,7.65
2015-07-20,dane,weight,158.7
2015-07-20,dane,calories,2604
2015-07-20,dane,steps,15626
2015-10-13,dane,distance,6.18
2015-10-13,dane,weight,156.1
2015-10-13,dane,calories,2370
2015-10-13,dane,steps,12625
2014-08-09,dane,distance,9.8
2014-08-09,dane,calories,2919
2014-08-09,dane,steps,20014
2014-08-09,dane,biking,14.5
2014-08-08,dane,distance,11.93
2014-08-08,dane,calories,3115
2014-08-08,dane,steps,24369
2014-05-31,dane,distance,9.66
2014-05-31,dane,weight,157.2
2014-05-31,dane,calories,2894
2014-05-31,dane,steps,19725
2014-05-30,dane,distance,9.34
2014-05-30,dane,weight,158.5
2014-05-30,dane,calories,2802
2014-05-30,dane,steps,19080
2014-05-30,dane,biking,15.4
2015-10-10,dane,distance,10.11
2015-10-10,dane,calories,2869
2015-10-10,dane,steps,20640
2014-08-01,dane,distance,12.25
2014-08-01,dane,calories,3251
2014-08-01,dane,steps,24960
2014-08-03,dane,distance,7.76
2014-08-03,dane,calories,2670
2014-08-03,dane,steps,15850
2014-08-03,dane,biking,17.2
2014-08-02,dane,distance,11.64
2014-08-02,dane,calories,3203
2014-08-02,dane,steps,23776
2014-08-05,dane,distance,7.61
2014-08-05,dane,weight,158.7
2014-08-05,dane,calories,2566
2014-08-05,dane,steps,15539
2014-08-05,dane,biking,14.4
2014-08-04,dane,distance,8.45
2014-08-04,dane,weight,158.6
2014-08-04,dane,calories,2630
2014-08-04,dane,steps,17267
2014-08-04,dane,biking,10.0
2014-08-07,dane,distance,8.71
2014-08-07,dane,calories,2648
2014-08-07,dane,steps,17789
2014-08-07,dane,biking,10.0
2014-08-06,dane,distance,7.19
2014-08-06,dane,weight,158.7
2014-08-06,dane,calories,2538
2014-08-06,dane,steps,14689
2014-10-28,dane,distance,3.92
2014-10-28,dane,weight,157.7
2014-10-28,dane,calories,2202
2014-10-28,dane,steps,8000
2014-10-29,dane,distance,8.67
2014-10-29,dane,weight,156.7
2014-10-29,dane,calories,2662
2014-10-29,dane,steps,17697
2014-10-29,dane,biking,15.8
2014-10-26,dane,distance,8.26
2014-10-26,dane,calories,2649
2014-10-26,dane,steps,16871
2014-10-26,dane,biking,10.0
2014-10-27,dane,distance,5.88
2014-10-27,dane,weight,158.4
2014-10-27,dane,calories,2391
2014-10-27,dane,steps,12014
2014-10-27,dane,biking,15.8
2014-10-24,dane,distance,10.13
2014-10-24,dane,calories,2888
2014-10-24,dane,steps,20685
2014-10-25,dane,distance,9.63
2014-10-25,dane,calories,2837
