distance,steps,weight,active1,active2,active3,sedentary,calories,actcal,biking,date,month,year
4.64,9485,161.4,539,0,0,901,1924,935,0.0,2013-06-25,6,2013
5.72,11688,160.6,536,0,0,904,2428,1438,21.1,2013-06-26,6,2013
6.01,12279,159.1,624,0,0,816,2109,1219,10.0,2013-06-27,6,2013
3.89,7941,159.5,648,0,0,792,2061,1197,12.0,2013-06-28,6,2013
10.22,20881,160.1,689,0,0,751,2703,1882,11.8,2013-06-29,6,2013
6.83,13948,0,532,0,0,908,2213,1221,0.0,2013-06-30,6,2013
6.58,13433,159.3,655,0,0,785,2136,1280,11.0,2013-07-01,7,2013
4.84,9891,159.7,501,0,0,939,2074,1048,17.6,2013-07-02,7,2013
3.06,6251,157.3,0,0,0,1440,1709,0,0.0,2013-07-03,7,2013
9.37,19145,159.2,733,0,0,707,2414,1643,0.0,2013-07-04,7,2013
9.72,19852,160.1,785,0,0,655,2405,1689,10.0,2013-07-05,7,2013
7.37,15055,0,547,0,0,893,2058,1082,0.0,2013-07-06,7,2013
6.25,12756,159.8,420,0,0,1020,2206,1092,9.9,2013-07-07,7,2013
7.29,14898,161,647,0,0,793,2293,1424,18.2,2013-07-08,7,2013
4.42,9030,159.1,0,0,0,1440,1859,0,0.0,2013-07-09,7,2013
7.79,15902,0,708,0,0,732,2188,1390,0.0,2013-07-10,7,2013
5.19,10598,0,0,0,0,1440,1840,0,0.0,2013-07-11,7,2013
5.28,10782,0,762,0,0,678,2058,1318,0.0,2013-07-12,7,2013
4.64,9476,159.5,0,0,0,1440,1941,0,0.0,2013-07-13,7,2013
6.65,13590,0,695,0,0,745,2044,1230,0.0,2013-07-14,7,2013
6.38,13040,0,716,0,0,724,2095,1304,11.5,2013-07-15,7,2013
4.14,8457,160,0,0,0,1440,1816,0,0.0,2013-07-16,7,2013
3.25,6638,158.6,0,0,0,1440,1786,0,0.0,2013-07-17,7,2013
5,10220,157.7,706,0,0,734,2063,1266,18.6,2013-07-18,7,2013
8.27,16898,155.6,677,0,0,763,2248,1425,10.0,2013-07-19,7,2013
2.13,4345,158.5,0,0,0,1440,1626,0,0.0,2013-07-20,7,2013
5.22,10660,0,700,0,0,740,2093,1286,0.0,2013-07-21,7,2013
4.95,10116,160.1,853,0,0,587,3106,2464,22.3,2013-07-22,7,2013
7.06,14421,158.9,771,0,0,669,2355,1626,0.0,2013-07-23,7,2013
3.34,6827,159.6,0,0,0,1440,1865,0,0.0,2013-07-24,7,2013
4.83,9856,0,0,0,0,1440,1852,0,0.0,2013-07-25,7,2013
3.89,7936,0,0,0,0,1440,1792,0,0.0,2013-07-26,7,2013
5.88,11999,0,643,0,0,797,2072,1200,0.0,2013-07-27,7,2013
8.52,17407,0,616,0,0,824,2207,1305,0.0,2013-07-28,7,2013
4.03,8302,160.5,13,0,0,1427,1808,29,15.6,2013-07-29,7,2013
6.21,12690,160.2,648,0,0,792,2115,1249,14.6,2013-07-30,7,2013
5.48,11202,159.1,630,0,0,810,2060,1177,17.6,2013-07-31,7,2013
4.3,8791,159.1,696,0,0,744,2038,1227,15.1,2013-08-01,8,2013
6.73,13746,159.7,743,0,0,697,2081,1320,0.0,2013-08-02,8,2013
5.89,12026,158.7,588,0,0,852,1950,1022,0.0,2013-08-03,8,2013
5.76,11772,0,593,0,0,847,1985,1064,0.0,2013-08-04,8,2013
7.81,15947,158,633,0,0,807,2229,1352,12.0,2013-08-05,8,2013
5.99,12227,157.2,589,0,0,851,2145,1222,10.0,2013-08-06,8,2013
6.62,13513,157,0,0,0,1440,1960,0,0.0,2013-08-07,8,2013
8.92,18220,0,546,0,0,894,2243,1271,0.0,2013-08-08,8,2013
4.02,8213,0,0,0,0,1440,1802,0,0.0,2013-08-09,8,2013
6.81,13900,159.2,653,0,0,787,2181,1323,11.5,2013-08-10,8,2013
7.66,15646,158.2,703,0,0,737,2084,1283,0.0,2013-08-11,8,2013
3.7,7550,158.2,0,0,0,1440,1857,0,9.0,2013-08-12,8,2013
6.12,12505,157.6,633,0,0,807,2187,1311,18.8,2013-08-13,8,2013
4.15,8485,156.6,0,0,0,1440,1860,0,10.0,2013-08-14,8,2013
5.55,11333,157.8,0,0,0,1440,1888,0,0.0,2013-08-15,8,2013
7.01,14285,0,737,0,0,703,2031,1266,0.0,2013-08-16,8,2013
10.9,22207,0,797,0,0,643,2420,1720,0.0,2013-08-17,8,2013
6.21,12678,0,554,0,0,886,2017,1052,0.0,2013-08-18,8,2013
7.69,15709,159,619,7,0,739,2437,1543,21.5,2013-08-19,8,2013
7.76,15854,158.1,111,144,60,660,2731,1435,16.1,2013-08-20,8,2013
6.3,12872,155.9,137,132,41,590,2588,1286,13.0,2013-08-21,8,2013
7,14282,157.8,131,134,55,682,2678,1382,14.6,2013-08-22,8,2013
5.06,10314,0,119,88,41,712,2400,1037,6.8,2013-08-23,8,2013
11.32,23113,0,123,132,133,542,3174,1971,0.0,2013-08-24,8,2013
5.2,10621,0,103,121,32,719,2402,1057,0.0,2013-08-25,8,2013
6.2,12672,157,78,91,60,1211,2431,1109,11.6,2013-08-26,8,2013
4.33,8850,0,57,77,36,1270,2183,791,0.0,2013-08-27,8,2013
3.21,6546,0,47,57,27,1309,2037,598,0.0,2013-08-28,8,2013
3.64,7435,0,43,61,34,1302,2075,652,0.0,2013-08-29,8,2013
8.54,17443,0,77,153,71,1139,2732,1475,11.4,2013-08-30,8,2013
7.74,15804,0,720,0,0,720,2343,1562,0.0,2013-08-31,8,2013
7.36,15021,0,780,0,0,660,2408,1692,9.3,2013-09-01,9,2013
6.12,12489,0,326,73,27,1014,2417,1314,11.5,2013-09-02,9,2013
9.18,18745,157.2,104,212,53,1071,2835,1669,15.1,2013-09-03,9,2013
7.35,15007,157,56,81,91,1212,2547,1226,0.0,2013-09-04,9,2013
6.99,14261,156.6,90,97,74,1179,2538,1249,14.5,2013-09-05,9,2013
6.24,12698,157.5,59,91,64,1226,2417,1073,0.0,2013-09-06,9,2013
7.68,15692,156.7,59,106,84,1191,2581,1286,0.0,2013-09-07,9,2013
7.51,15341,0,52,83,90,1116,2555,1234,0.0,2013-09-08,9,2013
6.97,14304,157.1,108,109,65,768,2615,1301,16.5,2013-09-09,9,2013
6.36,12993,155.4,98,108,57,1142,2491,1188,10.0,2013-09-10,9,2013
6.41,13073,156.2,80,145,28,712,2458,1158,15.7,2013-09-11,9,2013
7.5,15308,157.2,93,95,83,659,2618,1334,0.0,2013-09-12,9,2013
7.71,15524,157.1,88,103,72,787,2632,1332,10.0,2013-09-13,9,2013
12.84,25416,158,70,88,182,1100,3192,1989,0.0,2013-09-14,9,2013
9.03,17854,0,63,69,122,1186,2740,1431,0.0,2013-09-15,9,2013
6.86,13580,157.3,124,126,49,1141,2547,1295,17.6,2013-09-16,9,2013
6.39,12957,157,115,102,57,1166,2512,1219,13.0,2013-09-17,9,2013
4.58,9354,157.2,89,96,30,1225,2250,909,12.6,2013-09-18,9,2013
9.07,18523,156.9,66,98,112,1164,2769,1495,0.0,2013-09-19,9,2013
6.14,12533,157.7,111,97,56,1176,2503,1180,0.0,2013-09-20,9,2013
5.54,11309,158.1,46,89,50,1255,2306,940,0.0,2013-09-21,9,2013
11.96,24416,0,59,105,155,1113,3107,1883,20.2,2013-09-22,9,2013
7.37,15059,157.1,135,133,57,1115,2674,1429,16.1,2013-09-23,9,2013
6.21,12564,156.4,69,89,64,1218,2422,1093,0.0,2013-09-24,9,2013
7.75,15781,155.9,51,85,97,1207,2602,1275,0.0,2013-09-25,9,2013
8.08,16497,156.1,123,146,67,909,2747,1509,15.4,2013-09-26,9,2013
11.34,23068,155.9,123,133,128,290,3119,1951,13.5,2013-09-27,9,2013
8.58,17533,155.4,87,139,80,1134,2720,1486,0.0,2013-09-28,9,2013
7.45,15210,0,98,149,50,1143,2621,1354,10.0,2013-09-29,9,2013
6.72,13732,156.6,93,93,67,1187,2501,1212,0.0,2013-09-30,9,2013
6.9,14083,155.9,110,129,52,1149,2552,1290,15.3,2013-10-01,10,2013
8.04,16353,156.6,90,107,81,1162,2670,1397,0.0,2013-10-02,10,2013
6.23,12694,156.5,79,100,54,1207,2447,1111,0.0,2013-10-03,10,2013
5.63,11503,156.9,154,135,22,1129,2488,1210,0.0,2013-10-04,10,2013
7.99,16074,0,108,125,76,1131,2726,1461,0.0,2013-10-05,10,2013
4.6,9386,0,71,85,36,1248,2234,864,0.0,2013-10-06,10,2013
6.2,12653,0,66,123,48,1203,2447,1108,11.5,2013-10-07,10,2013
11.98,24440,157.4,127,166,124,1023,3215,2088,0.0,2013-10-08,10,2013
9.84,20047,0,120,120,109,1091,2943,1739,0.0,2013-10-09,10,2013
7.94,16211,0,75,123,79,1163,2640,1367,10.0,2013-10-10,10,2013
7.77,15847,155.8,136,135,68,1101,2722,1492,0.0,2013-10-11,10,2013
11.49,23323,156.1,96,133,137,1074,3121,1924,0.0,2013-10-12,10,2013
